emotion,language,comment
love,bangla,তোমার সাথে সময় কাটালে ভালো লাগে
anxious,bangla,আমার মাথা কাজ করছে না
surprised,bangla,কি বলছ! এটা সত্যি?
love,bangla,তোমার চোখে আমি হারিয়ে যাই
happy,bangla,আলহামদুলিল্লাহ সব ভালো
anxious,english,Everything feels out of control
neutral,bangla,হোমওয়ার্ক করলাম
sad,english,Why me?
love,english,Forever and always
angry,english,This is completely unacceptable
neutral,bangla,বন্ধুর সাথে কথা হলো
love,english,I love you so much!
neutral,bangla,ল্যাপটপ চালু করলাম
happy,bangla,পরিবারের সাথে সময় কাটাচ্ছি
angry,bangla,বেশি বাড়াবাড়ি করছো!
happy,english,So excited for the weekend!
love,english,You mean the world to me
sad,english,I lost someone important
love,bangla,তুমি সেরা
neutral,bangla,আজ মিটিং আছে ৩টায়
anxious,bangla,ভবিষ্যৎ নিয়ে খুব দুশ্চিন্তা
happy,bangla,জীবনটা দারুণ যাচ্ছে
neutral,bangla,বিশেষ কিছু হয়নি
love,english,So in love with this person
surprised,bangla,এটা কখনোই আশা করিনি
neutral,english,Just browsing social media
happy,bangla,পরিবার নিয়ে আনন্দ
happy,english,Couldn't be happier right now
surprised,bangla,আমি তো ভাবতেই পারিনি
surprised,bangla,এটা কল্পনাতীত!
happy,bangla,জীবন সুন্দর
happy,english,I feel amazing
anxious,bangla,আমার মন স্থির নয়
anxious,english,I can't calm down
sad,english,Nothing makes sense anymore
angry,english,I am so fed up!
anxious,bangla,হার্টের ধড়ফড়ানি বন্ধ হচ্ছে না
anxious,bangla,দিশেহারা হয়ে যাচ্ছি
happy,english,Best day ever!
surprised,english,This is totally unexpected
happy,english,Smiling from ear to ear
happy,english,Perfect moment captured
happy,bangla,কি সুন্দর একটা দিন!
anxious,bangla,শান্তি নেই মনে
sad,english,Feeling empty inside
angry,bangla,এটা অন্যায়!
sad,bangla,কষ্টে জর্জরিত
sad,english,Can't stop crying
anxious,english,Every little thing worries me
angry,bangla,এটা সম্পূর্ণ অগ্রহণযোগ্য
neutral,english,Need to go grocery shopping
surprised,english,Can't believe this is real
angry,bangla,থামো এখনি!
sad,bangla,ব্যথাটা সহ্যের বাইরে
angry,bangla,আগুন জ্বলছে ভিতরে
sad,english,I feel invisible
surprised,bangla,আমি বাকরুদ্ধ!
sad,bangla,কষ্টে জর্জরিত
anxious,bangla,মনটা শান্ত নয়
sad,bangla,মনটা ভেঙে গেছে
love,bangla,তোমায় নিয়ে গর্বিত
anxious,english,My heart is racing
angry,english,I've had enough!
sad,english,The pain is unbearable
happy,bangla,আমি সফল হয়েছি
anxious,english,I feel suffocated
love,bangla,তুমি আমার সারা জীবনের গল্প
sad,english,So tired of all this
happy,bangla,ভীষণ ভালো লাগছে
surprised,bangla,এটা তো স্বপ্নের মতো
angry,bangla,এটা যুদ্ধের সময়!
happy,english,My heart is full of joy
angry,bangla,এটা আমি মেনে নিতে পারব না!
neutral,bangla,সন্ধ্যায় হাঁটতে যাব
anxious,english,I can't calm down
sad,bangla,কেউ আমাকে বুঝতে চায় না
happy,bangla,আমি খুবই আনন্দিত
love,english,Forever and always
love,bangla,তুমি আমার সারা জীবনের গল্প
love,bangla,তুমি ছাড়া অচল
surprised,bangla,অসম্ভব!
love,bangla,তোমার চোখে আমি হারিয়ে যাই
anxious,english,I'm afraid of the future
anxious,bangla,প্যারানয়েড হয়ে গেছি
love,bangla,তোমার স্পর্শে স্বর্গ
love,bangla,তোমার কথা ভাবলেই ভালো লাগে
sad,english,So disappointed
sad,english,This hurts so much
surprised,english,That came out of nowhere
love,english,This is what love feels like
sad,english,Everything reminds me of you
angry,english,Cannot tolerate this anymore
angry,bangla,চুপ করে থাকব না আর
happy,english,Today is my lucky day
angry,english,Total disaster
angry,english,I can't believe this!
neutral,bangla,নতুন জিন্স কিনেছি
sad,english,I just want to sleep forever
anxious,bangla,উদ্বিগ্নতায় শেষ
sad,bangla,আজ খুব মন খারাপ
happy,english,I feel so lucky
angry,bangla,আগুন জ্বলছে ভিতরে
love,bangla,তুমি ছাড়া অচল
love,english,Forever and always
surprised,english,Who would have thought!
angry,english,This is completely unacceptable
love,english,Can't imagine life without you
happy,english,What a blessing!
sad,english,So tired of all this
happy,bangla,আজকে আমার সেরা দিন
surprised,english,This changes everything!
anxious,english,What will happen next?
neutral,bangla,আজ রান্না করেছি
surprised,bangla,আমার চোখকে বিশ্বাস হচ্ছে না
angry,english,This makes my blood boil
happy,english,Smiling from ear to ear
surprised,english,I am shocked and amazed
love,bangla,তুমি আমার সমগ্র বিশ্ব
happy,bangla,জীবনটা দারুণ যাচ্ছে
happy,english,Feeling great and blessed!
surprised,english,That's the last thing I expected
happy,bangla,আজ অনেক আনন্দ
sad,english,I miss you so much
angry,bangla,এভাবে চলতে দেব না
love,english,You make my life complete
angry,bangla,সব মিথ্যা কথা!
anxious,bangla,ফলাফল নিয়ে খুব ভয় লাগছে
happy,bangla,দারুণ এক অনুভূতি
sad,english,I miss you so much
neutral,english,Nothing new to report
angry,english,I hate this so much
neutral,bangla,একটি সিনেমা দেখলাম
sad,english,There is no hope left
anxious,english,Overthinking everything again
surprised,bangla,এটা স্বপ্ন নিশ্চয়ই!
love,english,You mean the world to me
neutral,english,Time for lunch
surprised,bangla,এটা তো স্বপ্নের মতো
sad,english,Can't stop crying
happy,english,So proud of myself
love,english,You are my sunshine
love,english,I choose you every day
surprised,english,What a twist!
love,english,Best feeling in the world
love,english,You are my forever person
angry,bangla,ন্যায়বিচার চাই!
surprised,english,That came out of nowhere
angry,bangla,ন্যায়বিচার চাই!
angry,bangla,অনেক রাগ হচ্ছে!
happy,bangla,আমি সফল হয়েছি
happy,english,I am so happy today!
neutral,english,It's raining outside
happy,bangla,আজ আমি খুব খুশি
happy,bangla,জীবন সুন্দর
neutral,english,Just another Monday
angry,english,I'm boiling inside
happy,english,What a joy!
love,bangla,আমি তোমাকে অনেক ভালোবাসি
love,bangla,তুমি আমার সবকিছু
anxious,bangla,অস্থির লাগছে খুব
sad,bangla,কেউ আমার কথা বুঝে না
angry,english,Cannot tolerate this anymore
anxious,english,Overthinking everything again
love,english,Thank you for being you
happy,bangla,আমি খুবই আনন্দিত
love,bangla,আমি তোমাকে অনেক ভালোবাসি
sad,bangla,কেউ আমার পাশে নেই
happy,bangla,আজকে আমার সেরা দিন
love,english,I choose you every day
neutral,bangla,গতকাল বাসায় ছিলাম
happy,bangla,বন্ধুদের সাথে আড্ডা দারুণ
love,english,You are my everything
love,bangla,তোমার জন্যই আমি বেঁচে আছি
sad,bangla,আমি খুব একা
anxious,english,My mind won't stop racing
happy,english,Absolutely fantastic!
angry,english,I've had enough!
happy,bangla,খুব ভালো লাগছে আজকে
love,english,This is what love feels like
happy,bangla,আজকে মনটা খুব ভালো
happy,bangla,আলহামদুলিল্লাহ সব ভালো
surprised,english,Holy cow! That's amazing!
surprised,bangla,আমি স্তব্ধ!
love,bangla,তুমি আমার সমগ্র বিশ্ব
surprised,english,Unbelievable!
neutral,english,Nothing special happened
happy,bangla,আজ অনেক আনন্দ
sad,bangla,জীবনটা বোঝা হয়ে গেছে
angry,english,Stop lying to me!
love,english,You make my heart smile
love,bangla,আমি তোমাকে অনেক ভালোবাসি
sad,bangla,কান্না পাচ্ছে খুব
anxious,english,This uncertainty is killing me
surprised,english,This is mind blowing
sad,bangla,কেউ আমার কথা বুঝে না
neutral,bangla,বন্ধুর সাথে কথা হলো
surprised,bangla,আমি বাকরুদ্ধ!
surprised,english,That came out of nowhere
anxious,english,I can't stop worrying
anxious,bangla,সব সময় ভয় লাগে
neutral,bangla,পানি খাচ্ছি
angry,bangla,আমি প্রতারিত হয়েছি
angry,english,This is a joke
neutral,english,Nothing special happened
surprised,bangla,আমার চোখকে বিশ্বাস হচ্ছে না
happy,bangla,সবাইকে অনেক অনেক ভালোবাসা
surprised,bangla,এটা তো শকিং!
anxious,bangla,অজানা ভয়ে আছি
love,english,Best feeling in the world
surprised,bangla,আমি হতবাক!
happy,english,Finally achieved my goal!
surprised,english,OMG! That's crazy!
sad,english,I feel invisible
love,english,You are amazing
surprised,english,Really? That's shocking!
anxious,bangla,আমার মন স্থির নয়
love,bangla,তুমি আমার সারা জীবনের গল্প
surprised,english,I'm genuinely surprised
love,english,Love is beautiful
anxious,bangla,ফলাফল নিয়ে খুব ভয় লাগছে
angry,english,This is outrageous
surprised,bangla,অসম্ভব!
sad,bangla,হারিয়ে যাচ্ছি
love,english,Can't imagine life without you
neutral,english,Nothing special happened
angry,bangla,ন্যায়বিচার চাই!
love,bangla,তোমার জন্যই আমার জীবন
surprised,english,Really? That's shocking!
love,english,I choose you every day
love,english,I love you so much!
surprised,bangla,সত্যি হলে ভালো হতো!
angry,english,I am so fed up!
happy,english,Life is beautiful!
happy,english,Feeling on top of the world
happy,english,Perfect moment captured
anxious,english,What if something goes wrong?
sad,bangla,হারিয়ে যাচ্ছি
anxious,english,I wish I knew what to expect
neutral,english,Just another ordinary day
love,bangla,ভালোবাসা অমর
angry,bangla,তুমি আমাকে চেনো না
surprised,english,What a twist!
happy,bangla,আজকের দিনটা স্পেশাল
love,english,You complete me
anxious,english,I can't calm down
sad,bangla,কিছুই পরিবর্তন হয় না
neutral,bangla,বৃষ্টি হচ্ছে আজকে
angry,english,This is so frustrating!
love,english,You are loved beyond measure
anxious,bangla,পাগল হয়ে যাব
angry,bangla,আগুন জ্বলছে ভিতরে
happy,bangla,জীবন সুন্দর
love,english,You mean the world to me
anxious,bangla,শান্তি নেই মনে
angry,bangla,আমার রাগ এখন বাস্তব
love,english,I adore you
neutral,bangla,বাজারে যাব একটু পর
anxious,english,I am trembling inside
angry,english,This is outrageous
anxious,english,What will happen next?
anxious,english,This uncertainty is killing me
anxious,bangla,কিছু একটা হবে
love,english,You are the best thing that ever happened to me
surprised,bangla,এটা তো পুরোপুরি অপ্রত্যাশিত!
angry,bangla,আমার সহ্যের বাইরে!
happy,bangla,খুশিতে আত্মহারা
love,english,So lucky to have you
neutral,english,Checked my emails
anxious,bangla,ভয়ে কুঁকড়ে যাচ্ছি
sad,english,Feeling empty inside
sad,bangla,সব হারিয়ে ফেলেছি
angry,english,This is completely unacceptable
anxious,bangla,আমার ভেতরটা কাঁপছে
surprised,bangla,এটা তো নাটকের মতো!
neutral,english,Just another ordinary day
anxious,bangla,কালকের জন্য খুব টেনশন হচ্ছে
sad,bangla,সব হারিয়ে ফেলেছি
surprised,bangla,কেউ জানত না এটা হবে!
anxious,english,My heart is racing
surprised,english,This changes everything!
surprised,bangla,আমি তো ভাবতেই পারিনি
happy,english,Delighted with the result
sad,english,I give up
happy,bangla,ভীষণ ভালো লাগছে
angry,english,Absolutely ridiculous
love,english,You are loved beyond measure
happy,english,Feeling on top of the world
anxious,bangla,উদ্বিগ্নতায় শেষ
neutral,english,Having some tea right now
angry,english,Absolutely ridiculous
love,bangla,ভালোবাসা অমর
anxious,bangla,আমার মাথা কাজ করছে না
angry,english,This makes my blood boil
happy,english,Life is beautiful!
angry,bangla,আমার সহ্যের বাইরে!
angry,bangla,বেশি বাড়াবাড়ি করছো!
anxious,bangla,দিশেহারা হয়ে যাচ্ছি
anxious,english,I'm so nervous about tomorrow
anxious,english,I feel so stressed out
surprised,english,I'm genuinely surprised
anxious,bangla,ব্যর্থ হলে কি হবে ভেবে মরি
surprised,english,This is mind blowing
angry,english,Total disaster
surprised,english,No way!
sad,english,Nothing makes sense anymore
neutral,bangla,বাজারে যাব একটু পর
angry,bangla,এটা আমি মেনে নিতে পারব না!
anxious,bangla,আমার মাথা কাজ করছে না
angry,english,You crossed the line
angry,bangla,আমি ঠকেছি
angry,english,Cannot tolerate this anymore
angry,english,Are you serious right now
happy,english,Today is my lucky day
angry,bangla,তুমি আমাকে চেনো না
sad,bangla,হারিয়ে যাচ্ছি
sad,english,I feel broken
love,bangla,তোমার চোখে আমি হারিয়ে যাই
angry,english,I hate this so much
anxious,bangla,কিছু একটা হবে
surprised,english,This is totally unexpected
surprised,bangla,ওহ মাই গড!
anxious,english,I feel so stressed out
angry,bangla,তুমি আমাকে চেনো না
happy,bangla,সাফল্যের স্বাদ মধুর
neutral,english,I should clean my room
sad,english,Everything is falling apart
anxious,english,I wish I knew what to expect
anxious,english,I'm so scared of the result
happy,english,I love this weather!
angry,english,Some people are just terrible
love,english,I adore you
sad,english,Feeling really down
happy,bangla,আমার স্বপ্ন পূরণ হয়েছে
love,bangla,ভালোবাসি তোমায় অসীম
happy,bangla,আমার স্বপ্ন পূরণ হয়েছে
surprised,bangla,কী দারুণ খবর!
neutral,english,Just another Monday
neutral,english,Just another ordinary day
sad,english,I lost someone important
love,english,You are the best thing that ever happened to me
love,english,So in love with this person
neutral,english,Just another ordinary day
surprised,bangla,আমি ভাবতেও পারিনি
happy,english,I love this weather!
sad,bangla,আমি খুব একা
neutral,english,Made some coffee
sad,bangla,জীবন থেকে ক্লান্ত
angry,bangla,সব পাপী একদিন ধরা পড়বে
sad,bangla,সব কিছু উল্টে গেছে
angry,bangla,এটা সম্পূর্ণ অগ্রহণযোগ্য
anxious,bangla,অস্থির লাগছে খুব
anxious,english,The anxiety is overwhelming
love,english,You are my everything
happy,english,So much to celebrate!
sad,english,My heart is aching
sad,english,I wish I had someone to talk to
love,bangla,তোমাকে পাওয়া আমার সৌভাগ্য
sad,bangla,কান্না পাচ্ছে খুব
surprised,bangla,এটা কীভাবে জানলেন?
angry,bangla,সাবধান করছি!
sad,english,Nothing makes sense anymore
anxious,english,I can't calm down
anxious,bangla,অজানা ভয়ে আছি
love,bangla,তোমার জন্যই আমার জীবন
anxious,english,I'm so nervous about tomorrow
love,bangla,ভালোবাসা অমর
angry,bangla,বাঁধ ভেঙে গেছে
angry,english,How dare they do this
happy,bangla,কি সুন্দর একটা দিন!
sad,bangla,আজ খুব মন খারাপ
love,english,Best feeling in the world
angry,bangla,এটা অন্যায়!
happy,bangla,সব কিছু পারফেক্ট
anxious,english,I can't stop worrying
surprised,english,I am in shock
surprised,english,No way! This is unbelievable!
sad,english,There is no hope left
anxious,bangla,চিন্তায় ডুবে আছি
surprised,english,I can't believe my eyes
surprised,english,Are you serious?
love,bangla,তোমার জন্য আমার জীবন উৎসর্গ
surprised,english,Unbelievable!
neutral,bangla,বই পড়ছি এখন
sad,bangla,ব্যথাটা সহ্যের বাইরে
sad,bangla,বাঁচার ইচ্ছা নেই
surprised,english,That is incredible!
happy,english,Best day ever!
sad,bangla,আমি খুব একা
surprised,english,I am stunned
neutral,bangla,আজ সাধারণ একটা দিন
neutral,english,My phone battery is low
anxious,english,I am on edge all the time
neutral,bangla,হোমওয়ার্ক করলাম
love,english,You are my forever person
happy,english,I feel amazing
happy,english,My heart is full of joy
surprised,english,This is totally unexpected
sad,bangla,বাঁচার ইচ্ছা নেই
anxious,english,What will happen next?
sad,english,The pain is unbearable
angry,bangla,রাগে ফেটে পড়ছি
surprised,bangla,এটা তো স্বপ্নের মতো
happy,bangla,খুব ভালো লাগছে আজকে
happy,bangla,জীবন সুন্দর
happy,english,What a joy!
angry,english,This is a total scam
love,english,You are my everything
angry,bangla,তোমার লজ্জা করে না?
neutral,english,It's raining outside
love,english,I cherish every moment with you
love,english,My heart belongs to you
surprised,bangla,বাহ! এটা তো দারুণ!
angry,bangla,অপমান সহ্য করব না
surprised,english,Can't believe this is real
sad,english,Can't stop crying
love,bangla,তোমায় নিয়ে গর্বিত
anxious,bangla,ভুল হয়ে গেলে কি হবে?
surprised,english,I'm speechless right now
neutral,bangla,ইনবক্স চেক করলাম
surprised,english,No way!
sad,bangla,সব কিছু উল্টে গেছে
love,english,Love you to the moon and back
angry,bangla,তোমার অহংকার নিচে নামাব
neutral,bangla,বৃষ্টি হচ্ছে আজকে
anxious,bangla,ফলাফল নিয়ে খুব ভয় লাগছে
sad,english,I feel broken
sad,english,I give up
neutral,bangla,ঘুম থেকে উঠলাম সকালে
love,bangla,তুমি সেরা
happy,bangla,সবাইকে অনেক অনেক ভালোবাসা
sad,bangla,কিছুই ভালো লাগছে না
sad,english,Everything is falling apart
sad,bangla,আমি ক্লান্ত হয়ে গেছি
surprised,english,I am in shock
sad,bangla,কিছুই ভালো লাগছে না
anxious,bangla,পাগল হয়ে যাব
sad,bangla,আমি কারো কাজে লাগি না
sad,bangla,মনটা ভেঙে গেছে
sad,english,Feeling empty inside
neutral,english,Just finished my homework
love,english,I cherish every moment with you
surprised,english,That's the last thing I expected
love,bangla,তুমি আমার স্বপ্নের মানুষ
sad,english,Everything is falling apart
happy,english,I love this weather!
happy,english,What a wonderful day!
happy,english,Feeling great and blessed!
surprised,bangla,আমি স্তব্ধ!
love,bangla,তুমি আমার জীবনের আলো
surprised,english,This changes everything!
love,bangla,তোমাকে নিয়ে আমার গর্ব
happy,english,Such a pleasant surprise
sad,bangla,জীবন থেকে ক্লান্ত
neutral,english,Listening to some music
surprised,english,I'm genuinely surprised
neutral,bangla,আজ মিটিং আছে ৩টায়
sad,english,This hurts so much
neutral,bangla,বিশেষ কিছু হয়নি
angry,english,I am so fed up!
surprised,english,That's the last thing I expected
sad,bangla,আমি ক্লান্ত হয়ে গেছি
surprised,bangla,মাই গড!
happy,english,So excited for the weekend!
happy,bangla,সাফল্যের স্বাদ মধুর
sad,bangla,কষ্টে আছি খুব
angry,english,You crossed the line
love,english,So lucky to have you
love,english,You are my soulmate
angry,bangla,সব পাপী একদিন ধরা পড়বে
surprised,bangla,এটা স্বপ্ন নিশ্চয়ই!
love,english,You are my whole world
sad,english,Nothing makes sense anymore
anxious,english,What if I fail?
sad,bangla,সব হারিয়ে ফেলেছি
sad,english,I just want to disappear
sad,bangla,সব কিছু উল্টে গেছে
happy,english,So much to celebrate!
neutral,english,It's a regular weekday
surprised,english,You're kidding me!
neutral,bangla,নাস্তা করলাম
anxious,bangla,মনটা শান্ত নয়
surprised,english,No way!
anxious,english,Feeling really uneasy
sad,english,So tired of all this
sad,bangla,জীবন থেকে ক্লান্ত
angry,english,This is completely unacceptable
surprised,english,I am shocked and amazed
happy,bangla,জীবনে এত আনন্দ আর কি চাই
happy,bangla,জীবনটা দারুণ যাচ্ছে
neutral,bangla,বাজারে যাব একটু পর
happy,bangla,হাসি মুখে দিন শুরু
neutral,english,Having some tea right now
happy,bangla,সাফল্যের স্বাদ মধুর
surprised,bangla,এটা কখনোই আশা করিনি
sad,english,Why does this keep happening
anxious,english,What if I fail?
anxious,english,I am trembling inside
surprised,english,Who would have thought!
surprised,bangla,কী দারুণ খবর!
happy,bangla,আজ আমি খুব খুশি
anxious,english,I feel so stressed out
anxious,bangla,কালকের জন্য খুব টেনশন হচ্ছে
anxious,bangla,সব সময় ভয় লাগে
happy,bangla,আজকে মনটা খুব ভালো
sad,english,Nothing is going right
love,bangla,তোমার স্পর্শে স্বর্গ
neutral,english,The internet is slow today
neutral,bangla,রোদ উঠেছে এখন
sad,english,The pain is unbearable
anxious,bangla,চিন্তায় রাত ঘুম আসে না
anxious,english,What if I fail?
neutral,english,The weather is okay I guess
angry,english,This is infuriating
neutral,english,Need to charge my laptop
angry,english,I can't believe this!
neutral,bangla,নাস্তা করলাম
love,english,You are perfect just the way you are
surprised,english,I can't believe my eyes
neutral,english,Watching a movie tonight
sad,bangla,কেউ আমাকে বুঝতে চায় না
neutral,english,Had a usual day at office
happy,bangla,জীবন সুন্দর
sad,bangla,কেউ আমার পাশে নেই
neutral,bangla,মোবাইল চার্জ দিচ্ছি
neutral,english,My phone battery is low
surprised,english,Unbelievable!
love,bangla,তোমার জন্যই আমি বেঁচে আছি
anxious,english,Feeling really uneasy
anxious,english,My mind won't stop racing
anxious,english,Paranoid and restless
neutral,english,Just got home
neutral,english,Had a usual day at office
neutral,english,Checked my emails
happy,english,I feel amazing
sad,bangla,একা একা খুব কষ্ট হচ্ছে
sad,bangla,আমি ক্লান্ত হয়ে গেছি
angry,bangla,সব পাপী একদিন ধরা পড়বে
anxious,english,I wish I knew what to expect
anxious,english,I'm so scared of the result
neutral,bangla,রোদ উঠেছে এখন
surprised,bangla,আমি ভাবতেও পারিনি
happy,english,I am so happy today!
love,bangla,তোমার জন্যই আমি বেঁচে আছি
surprised,english,Can't believe this is real
sad,bangla,আমার কিছুই নেই
neutral,bangla,আজ রান্না করেছি
surprised,english,I'm genuinely surprised
sad,bangla,নিঃসঙ্গতা গ্রাস করছে
neutral,english,Just finished my homework
sad,bangla,মনটা ভেঙে গেছে
angry,english,Some people are just terrible
surprised,bangla,এটা কখনোই আশা করিনি
love,bangla,তোমার জন্য আমার ভালোবাসা চিরন্তন
happy,bangla,খুশিতে আত্মহারা
anxious,english,I can't handle this
love,english,So in love with this person
love,bangla,তুমি আমার সবকিছু
surprised,bangla,এটা তো পুরোপুরি অপ্রত্যাশিত!
neutral,english,Just got home
happy,english,I feel amazing
angry,english,I'm about to lose my mind
sad,english,The pain is unbearable
happy,english,What a joy!
anxious,english,I feel suffocated
happy,bangla,জীবনটা দারুণ যাচ্ছে
happy,bangla,আমি সফল হয়েছি
sad,bangla,সব কিছু উল্টে গেছে
neutral,bangla,আজ সাধারণ একটা দিন
sad,bangla,মনটা ভেঙে গেছে
neutral,english,I had my breakfast
neutral,bangla,অফিস যাচ্ছি এখন
surprised,bangla,সত্যি কথা বলছ?
sad,english,So disappointed
anxious,bangla,ভবিষ্যৎ নিয়ে খুব দুশ্চিন্তা
neutral,english,Thinking about what to cook
sad,bangla,কেউ আমাকে ভালোবাসে না
neutral,bangla,সন্ধ্যায় হাঁটতে যাব
angry,bangla,এত নিষ্ঠুর কেন সবাই
neutral,bangla,পানি খাচ্ছি
angry,english,How stupid can people be
anxious,english,I need to breathe
anxious,english,Everything feels out of control
angry,bangla,আমি প্রতিশোধ নেব
happy,bangla,আজকের দিনটা স্পেশাল
happy,bangla,খুব ভালো লাগছে আজকে
happy,bangla,খুশিতে আত্মহারা
surprised,english,That is incredible!
sad,bangla,সব হারিয়ে ফেলেছি
angry,english,So angry I can't even think straight
love,bangla,তোমাকে পাওয়া আমার সৌভাগ্য
love,bangla,তোমার জন্যই আমার জীবন
angry,bangla,অনেক রাগ হচ্ছে!
neutral,bangla,গতকাল বাসায় ছিলাম
happy,bangla,আনন্দে ভাসছি
surprised,english,That is incredible!
sad,bangla,জীবন থেকে ক্লান্ত
love,english,You are my whole world
surprised,bangla,আমি স্তব্ধ!
neutral,english,Listening to some music
surprised,english,I am shocked and amazed
anxious,english,I'm panicking inside
surprised,english,Holy cow! That's amazing!
anxious,bangla,ভবিষ্যৎ নিয়ে খুব দুশ্চিন্তা
happy,english,Today is my lucky day
love,bangla,তুমি আমার জীবনের আলো
surprised,english,That is incredible!
anxious,english,I feel like something bad will happen
neutral,bangla,কাল শপিং এ যাব
anxious,bangla,ফলাফল নিয়ে খুব ভয় লাগছে
love,english,This is what love feels like
angry,english,Enough is enough!
happy,english,This is amazing news
surprised,bangla,কী দারুণ খবর!
love,english,You make my life complete
neutral,english,Made some coffee
angry,english,Cannot tolerate this anymore
surprised,bangla,সত্যি! আমি বিশ্বাস করতে পারছি না!
anxious,bangla,অস্থির লাগছে খুব
neutral,bangla,গতকাল বাসায় ছিলাম
happy,english,So excited for the weekend!
sad,english,I miss you so much
love,bangla,তুমি সেরা
surprised,bangla,সত্যি! আমি বিশ্বাস করতে পারছি না!
neutral,english,Having some tea right now
angry,bangla,তোমার লজ্জা করে না?
surprised,english,This is totally unexpected
happy,english,My heart is full of joy
sad,bangla,ব্যথাটা সহ্যের বাইরে
love,english,Forever and always
sad,bangla,আমি হেরে গেছি
love,bangla,তোমাকে নিয়ে আমার গর্ব
sad,bangla,আমি খুব হতাশ
angry,bangla,এটা শেষ নয় শুরু
anxious,bangla,বুকটা ধড়ফড় করছে
angry,bangla,আগুন জ্বলছে ভিতরে
anxious,bangla,ভুল হয়ে গেলে কি হবে?
love,bangla,তোমার স্পর্শে স্বর্গ
happy,english,I feel amazing
love,bangla,তুমি ছাড়া কিছুই না আমি
angry,english,Absolutely ridiculous
love,english,I fall in love with you every day
sad,english,I just want to sleep forever
angry,bangla,বিশ্বাসঘাতকতা!
sad,english,The pain is unbearable
love,english,You are the best thing that ever happened to me
surprised,bangla,সত্যি হলে ভালো হতো!
sad,english,This world is cruel
neutral,bangla,সন্ধ্যায় হাঁটতে যাব
sad,bangla,আজ খুব মন খারাপ
love,english,You are my whole world
love,english,You are loved beyond measure
surprised,bangla,কোনো কথা নেই আমার কাছে
love,bangla,তোমাকে নিয়ে আমার গর্ব
happy,bangla,আজ আমি খুব খুশি
neutral,english,Going to work now
angry,english,This is completely unacceptable
sad,english,So disappointed
sad,english,My heart is aching
angry,bangla,এটা শেষ নয় শুরু
sad,english,No one understands me
neutral,bangla,বৃষ্টি হচ্ছে আজকে
love,english,Best feeling in the world
love,english,Love you forever
happy,english,Life is beautiful!
love,bangla,তুমি ছাড়া কিছুই না আমি
happy,bangla,সব কিছু পারফেক্ট
love,english,I fall in love with you every day
happy,bangla,আনন্দে ভাসছি
neutral,bangla,সোশ্যাল মিডিয়া দেখছি
love,english,My heart belongs to you
happy,bangla,পরিবার নিয়ে আনন্দ
sad,english,Life feels so heavy
surprised,bangla,কেউ জানত না এটা হবে!
love,bangla,তুমি আমার সমগ্র বিশ্ব
sad,english,My heart is aching
anxious,english,This uncertainty is killing me
love,english,You are my soulmate
surprised,bangla,সত্যি হলে ভালো হতো!
happy,english,So much to celebrate!
angry,english,So angry I can't even think straight
anxious,bangla,চাপে আছি ভীষণ
sad,english,I wish I had someone to talk to
neutral,bangla,সোশ্যাল মিডিয়া দেখছি
anxious,bangla,হার্টের ধড়ফড়ানি বন্ধ হচ্ছে না
anxious,english,I wish I knew what to expect
anxious,english,Paranoid and restless
surprised,english,Who would have thought!
happy,bangla,আল্লাহর রহমতে ভালো আছি
surprised,bangla,আমার চোখকে বিশ্বাস হচ্ছে না
happy,english,Smiling from ear to ear
happy,english,Happiness is all around me
surprised,english,What a twist!
surprised,bangla,সত্যি কথা বলছ?
love,bangla,তোমাকে নিয়ে আমার গর্ব
anxious,bangla,সব সময় ভয় লাগে
surprised,english,I never expected this to happen
neutral,english,Had a usual day at office
happy,english,This makes me smile
neutral,english,Just another Monday
sad,english,Everything reminds me of you
angry,bangla,এভাবে চলতে দেব না
anxious,english,My heart is racing
love,english,My heart beats for you
sad,bangla,অন্ধকারে ডুবে যাচ্ছি
surprised,english,OMG! That's crazy!
love,english,You are perfect just the way you are
angry,english,This makes my blood boil
surprised,bangla,বাহ! এটা তো দারুণ!
happy,bangla,আজকে মনটা খুব ভালো
sad,english,This world is cruel
happy,bangla,আজ আমি খুব খুশি
happy,bangla,পরিবারের সাথে সময় কাটাচ্ছি
surprised,bangla,এটা তো নাটকের মতো!
angry,bangla,এটা আমি ভুলব না
sad,english,I give up
sad,bangla,ভেঙে পড়েছি সম্পূর্ণ
sad,bangla,সব হারিয়ে ফেলেছি
surprised,english,What a twist!
anxious,bangla,বুকটা ধড়ফড় করছে
happy,english,What a wonderful day!
neutral,english,Listening to some music
sad,bangla,বাঁচার ইচ্ছা নেই
love,bangla,তুমি আমার সবকিছু
surprised,english,This is totally unexpected
neutral,english,The weather is okay I guess
anxious,bangla,প্যারানয়েড হয়ে গেছি
neutral,english,Just got home
anxious,english,Feeling really uneasy
angry,bangla,রাগে ফেটে পড়ছি
angry,english,So sick of this nonsense
neutral,english,Watching a movie tonight
angry,english,I've had enough!
neutral,bangla,আজ রান্না করেছি
angry,bangla,বিশ্বাসঘাতকতা!
neutral,bangla,বৃষ্টি থেমে গেছে
neutral,english,The weather is okay I guess
surprised,english,What a revelation!
neutral,bangla,ফ্রিজে কিছু নেই
sad,english,Wish things were different
surprised,english,Did that really just happen?
neutral,bangla,বৃষ্টি থেমে গেছে
